日期,股票代码,名称,收盘价,涨跌幅,变动率,累计变动率,前复权,week,month,quarter,half-year,year
2016-09-19,'603299,井神股份,16.82,0.538,1.00538,3.1751672186610036,16.788004580670826,16.991615070243846,17.578496020743806,17.846983030045994,17.35896287483093,
2016-09-20,'603299,井神股份,16.76,-0.3567,0.996433,3.16384139719204,16.728121768331572,16.756063814862507,17.53408128416021,17.84631768597683,17.36020716111715,
2016-09-21,'603299,井神股份,16.8,0.2387,1.002387,3.171393486607137,16.76805179499258,16.77802413772498,17.514619001250814,17.833009885491354,17.36360966247855,
2016-09-22,'603299,井神股份,16.84,0.2381,1.002381,3.1789445744987486,16.807976526316455,16.758064620960948,17.492661174434375,17.823528006886296,17.369004430406076,
2016-09-23,'603299,井神股份,16.84,0.0,1.0,3.1789445744987486,16.807976526316455,16.780026239325586,17.462718787366583,17.807724705589592,17.369752485888977,
2016-09-26,'603299,井神股份,15.84,-5.9382,0.940618,2.9901724877758635,15.80988526423073,16.584402376037566,17.39784344674713,17.7856002239436,17.362017185954887,
2016-09-27,'603299,井神股份,15.88,0.2525,1.002525,2.9977226733074978,15.849805224522914,16.408739067275835,17.28655617215268,17.762810359418385,17.34067434755258,
2016-09-28,'603299,井神股份,15.66,-1.3854,0.986146,2.9561922233914957,15.630222022942373,16.181173112865793,17.18025948653715,17.73236839381354,17.310863429192537,
2016-09-29,'603299,井神股份,15.65,-0.0639,0.999361,2.954303216560749,15.620234311069714,15.943624669816444,17.053002109266473,17.690614419771514,17.285118106861074,
2016-09-30,'603299,井神股份,15.78,0.8307,1.008307,2.978844613380719,15.749991597491773,15.732027684051507,16.915265221393845,17.63937865929052,17.263856137455296,
2016-10-10,'603299,井神股份,16.49,4.4994,1.044994,3.1128747479151713,16.458646719429318,15.861779975091224,16.829929001200117,17.587976646462604,17.250159109376202,
2016-10-11,'603299,井神股份,16.6,0.6671,1.006671,3.133640735358514,16.56844235169463,16.005507400525566,16.769046301803822,17.54705484115537,17.236879231921872,
2016-10-12,'603299,井神股份,16.53,-0.4217,0.995783,3.120426172377507,16.498573230297534,16.1791776419966,16.702673657023553,17.517611101061856,17.21978094116314,
2016-10-13,'603299,井神股份,16.55,0.121,1.00121,3.1242018880460836,16.518536503906194,16.358838080563896,16.63580178972914,17.469203509732743,17.20284901101781,
2016-10-14,'603299,井神股份,16.43,-0.7251,0.992749,3.1015483001558612,16.39876059571637,16.488591880208816,16.56893002065446,17.422126488077403,17.17587440715387,
2016-10-17,'603299,井神股份,16.1,-2.0085,0.979915,3.0392537025472306,16.069391489151407,16.410740834153234,16.46213456388147,17.376380437209,17.153374130641506,
2016-10-18,'603299,井神股份,16.27,1.0559,1.010559,3.071345182392427,16.239068193885355,16.34486600259138,16.378794071313823,17.33179884658881,17.126562370084688,
2016-10-19,'603299,井神股份,16.3,0.1844,1.001844,3.0770087429087583,16.269013035634877,16.29895396365885,16.359332214061556,17.26875256626245,17.094689665944315,
2016-10-20,'603299,井神股份,16.26,-0.2454,0.997546,3.06945776345366,16.22908887764543,16.241064438406696,16.325397952436997,17.213691225446475,17.076507345015656,
2016-10-21,'603299,井神股份,16.24,-0.123,0.99877,3.0656823304046124,16.20912709832593,16.20313773892861,16.300945885628632,17.160792499589984,17.066954208746676,
2016-10-24,'603299,井神股份,16.44,1.2315,1.012315,3.1034362083035454,16.408742498541812,16.27100794080669,16.28198278152218,17.121368047136393,17.056243252431074,
2016-10-25,'603299,井神股份,16.62,1.0949,1.010949,3.1374157313482613,16.58840182015835,16.34087466606129,16.274996784113522,17.099077712704446,17.048772026867745,
2016-10-26,'603299,井神股份,16.5,-0.722,0.99278,3.114763589767927,16.46863355901681,16.380798770737677,16.260025872314735,17.071797030804433,17.0437048663914,
2016-10-27,'603299,井神股份,16.41,-0.5455,0.994545,3.097772554385743,16.378797162952374,16.410740427799063,16.23856690414653,17.040191000523997,17.037889069281192,
2016-10-28,'603299,井神股份,16.63,1.3406,1.013406,3.1393012932498383,16.59837131771891,16.48858927167766,16.22808664371665,17.034036448229124,17.03473284175913,
2016-10-31,'603299,井神股份,16.37,-1.5634,0.984366,3.0902214568311703,16.338872380537694,16.474615248076837,16.254535999532,17.022725216275507,17.02526519825505,
2016-11-01,'603299,井神股份,16.63,1.5883,1.015883,3.1393034442300203,16.598382690557777,16.476611422156722,16.29196487283374,17.004094616475548,17.017794128266594,
2016-11-02,'603299,井神股份,16.49,-0.8419,0.991581,3.1128736485330477,16.45864090668597,16.474612891690555,16.333385817020922,16.993947785744535,17.007001129293393,
2016-11-03,'603299,井神股份,17.01,3.1534,1.031534,3.2110350061658886,16.977647689037404,16.594382996907562,16.401256485919305,16.98912405298641,16.990243971595724,
2016-11-04,'603299,井神股份,17.39,2.234,1.02234,3.2827695282036347,17.3569283384105,16.74609440104588,16.481603322965242,16.986961908547325,16.99249608478295,
2016-11-07,'603299,井神股份,17.8,2.3577,1.023577,3.3601673853700915,17.766152637845202,17.031550452507382,16.546978618886037,16.992950903696883,16.999900956512658,
2016-11-08,'603299,井神股份,17.65,-0.8427,0.991573,3.3318512548135777,17.61643726956608,17.235161368309043,16.599378364779607,17.000104425126747,17.01062189456876,
2016-11-09,'603299,井神股份,17.84,1.0765,1.010765,3.3677186335716454,17.80607821677296,17.50464883032644,16.66475361410338,17.010252199371784,17.02740396910734,
2016-11-10,'603299,井神股份,18.47,3.5314,1.035314,3.4866462493975945,18.434882062920078,17.796095705102978,16.76057089205407,17.027386710770003,17.051168616595415,
2016-11-11,'603299,井神股份,18.03,-2.3822,0.976178,3.403587362444445,17.995726302417197,17.923855297904318,16.840419177389112,17.035538448552387,17.067456676292288,
2016-11-14,'603299,井神股份,17.92,-0.6101,0.993899,3.3828220759461716,17.88593437624615,17.947811645584505,16.93124632174385,17.046684562377497,17.083327613909674,
2016-11-15,'603299,井神股份,18.66,4.1295,1.041295,3.522515713572369,18.624534036313236,18.149430998933937,17.05051961386524,17.06897621610531,17.115974668485364,
2016-11-16,'603299,井神股份,18.04,-3.3226,0.966774,3.4054766064732136,18.00571526842269,18.189358409263882,17.137354725504633,17.0761299885199,17.14280112914004,
2016-11-17,'603299,井神股份,18.2,0.8869,1.008869,3.4356797784960245,18.16540795713833,18.135463588107534,17.234170679479277,17.08311724867862,17.1685519760385,
2016-11-18,'603299,井神股份,18.91,3.9011,1.039011,3.5697090823349327,18.874058686954253,18.311130065014943,17.36741725891069,17.09759031636362,17.195063671772992,
2016-11-21,'603299,井神股份,20.8,9.9947,1.099947,3.9264907959870623,20.760464230539274,18.886036035873566,17.585003345510565,17.148494049258836,17.242191129809676,
2016-11-22,'603299,井神股份,22.25,6.9712,1.069712,4.200214322356913,22.207717712978628,19.60267277120665,17.86596914015158,17.225015736141756,17.30229176338626,
2016-11-23,'603299,井神股份,22.58,1.4831,1.014831,4.262507700971788,22.53708037437982,20.508945792398073,18.169391480919728,17.314678784828413,17.364224351084033,
2016-11-24,'603299,井神股份,24.84,10.0089,1.100089,4.689137834254354,24.79279421197112,21.834423043364634,18.590091333370665,17.440439803983846,17.44288011076891,
2016-11-25,'603299,井神股份,22.38,-9.9034,0.900966,4.224753757976809,22.337464629982776,22.527104231970334,18.87704599898386,17.522617143355685,17.503481162404363,
2016-11-28,'603299,井神股份,20.57,-8.0876,0.919124,3.883072573046677,20.53089984056829,22.48119135397614,19.08664737198539,17.579675606088163,17.542721282337492,
2016-11-29,'603299,井神股份,19.82,-3.6461,0.963539,3.7414918639608223,19.782322701481334,21.99611235167668,19.245844372531568,17.608121805839314,17.575474325300505,
2016-11-30,'603299,井神股份,19.82,0.0,1.0,3.7414918639608223,19.782322701481334,21.44516081709698,19.412028462271337,17.641891255276455,17.601008386797105,
2016-12-01,'603299,井神股份,19.62,-1.0091,0.989909,3.7037364695615937,19.582699283100684,20.40314183132289,19.5422810419745,17.66551321238675,17.626704411785724,
2016-12-02,'603299,井神股份,18.53,-5.5556,0.944444,3.4979716862586296,18.49476284172874,19.634601473672085,19.599172767140413,17.665347103833156,17.641259803331405,
2016-12-05,'603299,井神股份,18.54,0.054,1.00054,3.499860590969209,18.504750013663273,19.22937150829108,19.636102635931316,17.671003418672477,17.65025598107791,
2016-12-06,'603299,井神股份,18.48,-0.3236,0.996764,3.488535042096833,18.44486864261906,18.961880696518627,19.677524204583968,17.681982957055787,17.664312660229697,
2016-12-07,'603299,井神股份,18.83,1.8939,1.018939,3.554604407259105,18.794196009841624,18.764255358190685,19.7269300942374,17.698119121788103,17.695137646496715,
2016-12-08,'603299,井神股份,19.63,4.2485,1.042485,3.7056217755015086,19.59266742731975,18.766248987034498,19.784819362457384,17.72706401474686,17.73170380495767,
2016-12-09,'603299,井神股份,19.17,-2.3434,0.976566,3.6187842348144064,19.133532858827937,18.894002990454336,19.84170969027792,17.750352962773825,17.761207768984185,
2016-12-12,'603299,井神股份,17.25,-10.0156,0.899844,3.2563412809923347,17.217194741819167,18.636491936085516,19.808272708556572,17.733884531393958,17.775572059228317,
2016-12-13,'603299,井神股份,17.37,0.6957,1.006957,3.278995647284199,17.336974765638004,18.414913160689306,19.74389474502281,17.724402810067282,17.78877704925979,
2016-12-14,'603299,井神股份,17.8,2.4755,1.024755,3.3601671845327195,17.766151575961377,18.209304273913254,19.731916560399746,17.74286783332197,17.79999910542428,
2016-12-15,'603299,井神股份,17.93,0.7303,1.007303,3.384706485481362,17.895897780920624,17.86995034463343,19.71844105158886,17.75933656116837,17.809481098544953,
2016-12-16,'603299,井神股份,18.41,2.6771,1.026771,3.475318462804184,18.374988860413648,17.718241544950573,19.69348756026183,17.787283568267046,17.823121841059734,
2016-12-19,'603299,井神股份,17.88,-2.8789,0.971211,3.3752675195785145,17.845991306111202,17.84400085780898,19.547763914040424,17.80491668035772,17.82594985520184,
2016-12-20,'603299,井神股份,18.73,4.7539,1.047539,3.5357243621917576,18.694371886812423,18.115480282043862,19.372096622732112,17.83768751566573,17.842002600821267,
2016-12-21,'603299,井神股份,20.08,7.2077,1.072077,3.790568767045453,20.0418061292982,18.570611192711226,19.247332910478033,17.892250087904163,17.86262998669774,
2016-12-22,'603299,井神股份,19.72,-1.7928,0.9820720000000001,3.7226114501898624,19.682496629012146,18.927930962329533,18.991818031330084,17.940158756282422,17.881843381584343,
2016-12-23,'603299,井神股份,18.38,-6.7951,0.932049,3.469656279538011,18.34505130057414,18.92194345036163,18.792197364859653,17.965776669186717,17.886750687388137,
2016-12-26,'603299,井神股份,18.17,-1.1425,0.988575,3.430015456544289,18.13545908946508,18.97983700703241,18.67242532730449,18.004536232940623,17.895068228442092,
2016-12-27,'603299,井神股份,18.8,3.4673,1.034673,3.548944382469049,18.7642698624741,18.993816602164745,18.62152268535413,18.05311064357314,17.907960501495744,
2016-12-28,'603299,井神股份,18.22,-3.0851,0.969149,3.4394558993254964,18.185373372946913,18.62253005089449,18.54167521892741,18.09569649940655,17.914032446610026,
2016-12-29,'603299,井神股份,17.56,-3.6224,0.963776,3.3148650488283296,17.526626407885285,18.191356006669118,18.438871575166637,18.127469701020143,17.909042060395812,
2016-12-30,'603299,井神股份,17.41,-0.8542,0.991458,3.286549471581238,17.37691396510913,17.997728539576112,18.382979131335656,18.15458507381377,17.896981866552128,
2017-01-03,'603299,井神股份,17.69,1.6083,1.016083,3.339407046732679,17.65638687240998,17.901914096165093,18.340560974272993,18.174547409696782,17.881262028079675,
2017-01-04,'603299,井神股份,17.01,-3.844,0.96156,3.211040239856275,16.97767536103454,17.54459519587718,18.267201310193766,18.181367959852444,17.86421140050389,
2017-01-05,'603299,井神股份,16.37,-3.7625,0.962375,3.0902248508316825,16.338890325575615,17.17529858640292,18.144436025980465,18.178706578107082,17.848158839584453,
2017-01-06,'603299,井神股份,15.9,-2.8711,0.971289,3.0015014051394537,15.869784445438013,16.843930193913465,17.95829187688638,18.167894043799276,17.818548776765997,
2017-01-09,'603299,井神股份,16.26,2.2642,1.022642,3.0694613999546214,16.22910810485162,16.614369021861965,17.813070639187565,18.165066502284862,17.793596495181117,
2017-01-10,'603299,井神股份,16.05,-1.2915,0.987085,3.0298193059742076,16.019509173677463,16.28699348211546,17.75318636078048,18.164235130360296,17.77030778378463,17.111194532290774
2017-01-11,'603299,井神股份,15.83,-1.3707,0.986293,2.988289572747219,15.799929761433862,16.051444362195323,17.676334110570274,18.156916156486105,17.744357501537436,17.153245123212482
2017-01-12,'603299,井神股份,15.62,-1.3266,0.986734,2.948646923275154,15.590327893218682,15.901731875723936,17.567542926433138,18.14560473744584,17.707178651854125,17.192346369885005
2017-01-13,'603299,井神股份,15.07,-3.5211,0.964789,2.8448221164597127,15.041376857770558,15.736050358190445,17.424816880275635,18.12580953711459,17.66975038128051,17.226941739070167
2017-01-16,'603299,井神股份,13.89,-7.8301,0.921699,2.622069699918801,13.863622008430266,15.262953138906175,17.199248537676464,18.086717785616326,17.623755142603137,17.254277052916503
2017-01-17,'603299,井神股份,14.17,2.0158,1.020158,2.6749253809297637,14.143084900876202,14.887668284345924,17.014103217414714,18.04895682565523,17.585162436395795,17.27990235734212
2017-01-18,'603299,井神股份,13.79,-2.6817,0.973183,2.6031919069893705,13.763809793089406,14.480444290677033,16.767575112728565,18.001880291870748,17.55047900228758,17.300903912263223
2017-01-19,'603299,井神股份,13.69,-0.7252,0.992748,2.5843135592798836,13.663994644469922,14.09517764092728,16.44868453848715,17.955136309961635,17.513466670383018,17.31808091675944
2017-01-20,'603299,井神股份,13.87,1.3148,1.013148,2.6182921139572954,13.843648846055412,13.855632038584252,16.156742149339316,17.91288383801335,17.476537419268656,17.33223261342508
2017-01-23,'603299,井神股份,14.01,1.0094,1.010094,2.6447211545555804,13.983386637507495,13.879584964399697,15.938658916185986,17.86930076000983,17.451668604119458,17.34280106072459
2017-01-24,'603299,井神股份,13.61,-2.8551,0.971449,2.569211720871864,13.58414696562002,13.767797377348462,15.711093309993732,17.8233886697612,17.42305694301834,17.347232047282763
2017-01-25,'603299,井神股份,13.61,0.0,1.0,2.569211720871864,13.58414696562002,13.731864811854583,15.452087165151024,17.773151407678903,17.388623012077215,17.34668440114922
2017-01-26,'603299,井神股份,13.6,-0.0735,0.999265,2.5673233502570234,13.574162617600289,13.713898406480657,15.221526627383692,17.725076769527472,17.359512277635996,17.340600436010064
2017-02-03,'603299,井神股份,13.73,0.9559,1.009559,2.5918643941621307,13.703918038061932,13.68595224488196,15.030391208892528,17.67051460867788,17.32981933083214,17.32898149050928
