日期,股票代码,名称,收盘价,涨跌幅,变动率,累计变动率,前复权,week,month,quarter,half-year,year,wm,wq,wh,wy,mq,mh,my,qh,qy,hy,wmq,wmqh,wmqhy,mqh,mqhy,qhy
2018-06-19,'300729,乐歌股份,32.32,-5.7726,0.9422740000000001,1.4060196004242935,32.03502369347124,34.36430139405427,34.155142407848395,30.95163828212589,30.062046232315286,,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0
2018-06-20,'300729,乐歌股份,33.78,4.5173,1.045173,1.46953372383426,33.48214181877641,33.989633632556234,34.204205937305034,31.040300426352793,30.081750325493132,,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
2018-06-21,'300729,乐歌股份,33.85,0.2072,1.002072,1.4725785977100447,33.55151681662491,33.77751773775747,34.271110101911844,31.116492436933868,30.112375532097424,,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
2018-06-22,'300729,乐歌股份,35.5,4.8744,1.048744,1.544357968876823,35.186951952334475,33.65064030847956,34.39153806344651,31.268208849417366,30.158845702599287,,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
2018-06-25,'300729,乐歌股份,34.96,-1.5211,0.984789,1.5208667398122377,34.65172322618752,33.78147150147892,34.449027076626955,31.398855740674012,30.20028094265121,,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
2018-06-26,'300729,乐歌股份,37.27,6.6076,1.066076,1.6213595305120712,36.94137049008109,34.76274086080089,34.6869118506838,31.554201104558175,30.25242374386393,,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0
2018-06-27,'300729,乐歌股份,36.77,-1.3416,0.986584,1.5996073710507213,36.445765063586165,35.35546550976284,34.83558946359924,31.695540362391807,30.293048759033503,,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0
2018-06-28,'300729,乐歌股份,36.04,-1.9853,0.980147,1.5678503659132512,35.72220728977878,35.78960360439361,35.05513667159688,31.82285016088945,30.319107128617347,,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0
2018-06-29,'300729,乐歌股份,36.9,2.3862,1.023862,1.6052624113446734,36.57461060012749,36.067135333952216,35.21372602233105,31.957143106261398,30.336179866949713,,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0
2018-07-02,'300729,乐歌股份,34.45,-6.6396,0.933604,1.4986794082810324,34.14620275472142,35.966031239658996,35.20282330723194,32.0434108016885,30.35739574938014,,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0
2018-07-03,'300729,乐歌股份,36.7,6.5312,1.065312,1.5965611577946832,36.37635954903779,35.85302905145034,35.34654526517768,32.15502747664532,30.37084636422393,,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0
2018-07-04,'300729,乐歌股份,33.03,-10.0,0.9,1.436905042015215,32.73872359413401,35.11162075755991,35.22413479598116,32.19994251020118,30.361945937351013,,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
2018-07-05,'300729,乐歌股份,31.81,-3.6936,0.963064,1.383831517383341,31.52948609946108,34.27307651949637,34.91736398299528,32.20385367406579,30.34436390598647,,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
2018-07-06,'300729,乐歌股份,32.82,3.1751,1.031751,1.4277695518917797,32.53057881260507,33.46427016199189,34.69286071340929,32.23873267062732,30.346452358229563,,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
2018-07-09,'300729,乐歌股份,34.03,3.6868,1.036868,1.4804085597309258,33.72991619226819,33.38101284950124,34.54071327138943,32.272586339457916,30.35213255766933,,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
2018-07-10,'300729,乐歌股份,33.8,-0.6759,0.993241,1.4704024782757046,33.50193568872466,32.80612807743862,34.44654984593602,32.31905761623179,30.34975629813405,,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
2018-07-11,'300729,乐歌股份,32.32,-4.3787,0.956213,1.4060179649594462,32.03498643072247,32.66538064475632,34.280525136158815,32.34666143434951,30.3481251978477,,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
2018-07-12,'300729,乐歌股份,33.9,4.8886,1.048886,1.4747525591944537,33.601048777374764,33.07969318033905,34.229972760496615,32.4067691210009,30.36044761441245,,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
